Name,AATSC5e,MATS5e,JGI9,JGI10,IC50,FP169,FP204,FP339,FP396,FP490,FP551,FP582,FP606,ExtFP79,ExtFP442,ExtFP584,ExtFP700,ExtFP1010,ExtFP1019,GraphFP158,GraphFP504,GraphFP622,GraphFP762,GraphFP860,GraphFP906,GraphFP1007,MACCSFP26,MACCSFP150,SubFP147,KRFP349,KRFP360,KRFP364,KRFP397,KRFP607,KRFP1538,KRFP2135,KRFP3940,KRFPC349,KRFPC2135,KRFPC2694,KRFPC3139,KRFPC3520,KRFPC4292,PIC50,
anti_NIV_066,0.005974093,0.065401375,0.007704559,0.006947857,3.39E-05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,
anti_NIV_067,2.63E-04,0.005214191,0.007377646,0.007187475,3.63E-05,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.44,
anti_NIV_068,-0.013611725,-0.182601183,0,0,5.13E-05,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,
anti_NIV_069,3.70E-04,0.01915492,0.010013755,0.00800301,5.62E-05,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,
anti_NIV_070,0.003273108,0.040595072,0.007708333,0.007620886,6.46E-05,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,
anti_NIV_071,0.008549332,0.054425649,0.00807356,0.006632231,6.61E-05,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,
anti_NIV_072,0.012008043,0.149885201,0,0,0.0001,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_073,0.009554347,0.110152364,0,0,0.0001,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_074,-0.007076087,-0.179043355,0.009643408,0.006360122,0.0001,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_075,0.008394145,0.123853238,0.009183286,0.006360122,0.0001,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,
